case_folder,mode,method_exactness,N,runtime_median,runtime_ex_norel_median,norel_heur_elapsed_median,runtime_IQR,runtime_CI95_lo,runtime_CI95_hi,nodes_median,nodes_IQR,nodes_CI95_lo,nodes_CI95_hi,mem_gb_median,mem_gb_IQR,mem_gb_CI95_lo,mem_gb_CI95_hi,obj_ppm_median,obj_ppm_IQR,obj_ppm_CI95_lo,obj_ppm_CI95_hi,root_constrs_median,final_constrs_median,final_to_root_constr_ratio_median,success_rate,feasible_rate,mip_gap_median,warm_applied_vars_median,branch_hints_median,speedup_vs_raw,speedup_vs_raw_ex_norel,reference_mode,speedup_vs_reference,wilcoxon_p_runtime,HL_delta_runtime,RBC_runtime,wilcoxon_p_nodes,HL_delta_nodes,RBC_nodes
matpower/case30,WARM_PRUNE_T010,heuristic,6,0.442155,0.442155,0.0,0.06312224999999999,0.40688250000000004,0.508671,0.0,0.0,0.0,0.0,,,,,0.0,2742.6687926014656,-4633.573003345482,7962.54692282301,7992.0,7992.0,1.0,1.0,1.0,0.00236289,9144.0,0.0,25.845246576426817,3.9107609322522645,RAW,25.845246576426817,0.03125,-10.962487000000001,-1.0,1.0,0.0,0.0
matpower/case30,WARM_PRUNE_T020,heuristic,6,0.44896400000000003,0.44896400000000003,0.0,0.04815900000000001,0.4074635,0.5091205,0.0,0.0,0.0,0.0,,,,,0.0,2742.6687926014656,-4633.573003345482,7962.54692282301,7992.0,7992.0,1.0,1.0,1.0,0.00236289,9144.0,0.0,25.453276877433378,3.851450227635178,RAW,25.453276877433378,0.03125,-10.932395,-1.0,1.0,0.0,0.0
matpower/case30,WARM_PRUNE_T030,heuristic,6,0.4517105,0.4517105,0.0,0.06520625000000002,0.4131545,0.497974,0.0,0.0,0.0,0.0,,,,,0.0,2742.6687926014656,-4633.573003345482,7962.54692282301,7992.0,7992.0,1.0,1.0,1.0,0.00236289,9144.0,0.0,25.298515310137798,3.828032556250076,RAW,25.298515310137798,0.03125,-10.9469405,-1.0,1.0,0.0,0.0
matpower/case30,WARM_PRUNE_T050,heuristic,6,0.44461300000000004,0.44461300000000004,0.0,0.021420999999999968,0.42261400000000005,0.478091,0.0,0.0,0.0,0.0,,,,,0.0,2742.6687926014656,-4633.573003345482,7962.54692282301,7992.0,7992.0,1.0,1.0,1.0,0.00236289,9144.0,0.0,25.702363628593854,3.8891406684015086,RAW,25.702363628593854,0.03125,-10.963102000000001,-1.0,1.0,0.0,0.0
matpower/case30,WARM_PRUNE_T080,heuristic,6,0.45932150000000005,0.45932150000000005,0.0,0.048132999999999926,0.4382275,0.584461,0.0,0.0,0.0,0.0,,,,,0.0,3065.1692240417424,-4633.573003345482,8177.547210449861,8136.0,8136.0,1.0,1.0,1.0,0.002346285,9144.0,0.0,24.87931655713917,3.764601700551792,RAW,24.87931655713917,0.03125,-10.944508,-1.0,1.0,0.0,0.0
matpower/case30,WARM_SR_LAZY,exact,6,3.1801690000000002,3.1801690000000002,0.0,0.0989637499999998,3.1065579999999997,3.2737255000000003,0.0,0.0,0.0,0.0,,,,,0.0,9733.24316442202,-4633.573003345482,10484.95676831248,60768.0,60768.0,1.0,1.0,1.0,0.001164935,9144.0,0.0,3.5933955082261346,0.5437328959561583,RAW,3.5933955082261346,0.03125,-8.3110855,-1.0,1.0,0.0,0.0
matpower/case300,ACTIVESET,exact,6,213.88189849999998,65.034416,150.0,7.6425000000000125,202.396885,234.7094195,1.0,0.0,1.0,1.0,,,,,-606908.3612904779,141666.19097410166,-774315.0056335401,-336994.77905171027,82620.0,83958.0,1.0161946259985475,0.0,0.0,0.003406325,0.0,0.0,2.7217204755642284,2.664256760605031,RAW,2.7217204755642284,0.03125,-351.7295295,-1.0,1.0,0.0,-1.0
matpower/case300,ACTIVESET_B500,exact,6,221.584733,68.7809155,150.5,6.669885749999992,204.1481635,239.23466150000002,1.0,0.0,1.0,1.0,,,,,-606908.3612903352,141675.33103470597,-774315.5183954661,-336989.198439899,82620.0,83557.0,1.0113410796417333,0.0,0.0,0.003365195,0.0,0.0,2.6271067262562715,2.519134577381424,RAW,2.6271067262562715,0.03125,-346.94793749999997,-1.0,1.0,0.0,-1.0
matpower/case300,ACTIVESET_B5000,exact,6,212.1166785,61.676488500000005,150.0,3.2871640000000184,201.6477675,235.19329,1.0,0.0,1.0,1.0,,,,,-606908.3612904779,141672.8963535634,-774319.4758865146,-336994.77905171027,82620.0,83958.0,1.0161946259985475,0.0,0.0,0.003349155,0.0,0.0,2.7443704409127827,2.8093101068813273,RAW,2.7443704409127827,0.03125,-349.103348,-1.0,1.0,0.0,-1.0
matpower/case300,ACTIVESET_LAZY,exact,6,804.3257935,419.418246,380.5,43.69776249999995,690.3403335,1038.0257505,1.0,195.0,1.0,263.5,,,,,19997.574732458088,9465.079718749086,8433.228432777929,51928.89528549468,82620.0,82687.5,1.0008169934640523,1.0,1.0,0.01864534,0.0,0.0,0.7237449640485761,0.41311598661351506,RAW,0.7237449640485761,0.0625,188.90615550000007,0.9047619047619048,0.5,0.0,1.0
