case_folder,mode,case_size,avg_runtime_sec,median_runtime_sec,runs,regime
matpower/case57,STREDUCE_CONSERVATIVE,57,43.53732133333333,61.294352,6,small
matpower/case57,STREDUCE_GRU,57,43.62073966666667,60.2943915,6,small
matpower/case57,STREDUCE_LAZY,57,45.78230349999999,61.2066425,6,small
matpower/case57,STREDUCE_LAZY_AGGRESSIVE,57,33.88889183333333,31.7728605,6,small
matpower/case57,STREDUCE_LAZY_CONSERVATIVE,57,45.110751666666665,60.387299,6,small
matpower/case57,STREDUCE_LAZY_GRU,57,42.99842116666667,60.177874,6,small
matpower/case57,WARM,57,45.02377799999999,61.351631,6,small
matpower/case57,WARM_ACTIVESET,57,2.1272415,2.382958,6,small
matpower/case57,WARM_ACTIVESET_LAZY,57,3.877827,4.402024,6,small
matpower/case57,WARM_BRANCH_HINTS,57,45.353839,61.534312,6,small
matpower/case57,WARM_COMMIT_HINTS,57,45.82587633333333,62.1353105,6,small
matpower/case57,WARM_GRU,57,45.301998999999995,61.440684000000005,6,small
matpower/case57,WARM_LAZY,57,3.2181926666666665,3.6772194999999996,6,small
matpower/case57,WARM_LAZY_BANDIT,57,3.223867,3.6562975,6,small
matpower/case57,WARM_LAZY_BRANCH_HINTS,57,3.2216543333333334,3.6979385000000002,6,small
matpower/case57,WARM_LAZY_COMMIT_GNN_T060,57,3.2184608333333333,3.694148,6,small
matpower/case57,WARM_LAZY_COMMIT_GRU,57,3.227912,3.6484615,6,small
matpower/case57,WARM_LAZY_COMMIT_HINTS,57,3.222754166666667,3.6472595,6,small
matpower/case57,WARM_LAZY_GNN_T060,57,3.222521,3.6883235,6,small
matpower/case57,WARM_LAZY_GRU,57,3.206172,3.6644360000000002,6,small
matpower/case57,WARM_LAZY_ML_STACK,57,3.2340715,3.6701135000000003,6,small
matpower/case57,WARM_LAZY_TOPK128,57,3.1934675,3.6481775,6,small
matpower/case57,WARM_LPSCREEN_LAZY_T010,57,3.5923431666666663,4.122958,6,small
matpower/case57,WARM_LPSCREEN_LAZY_T020,57,3.5089025,4.0149925,6,small
matpower/case57,WARM_LPSCREEN_LAZY_T030,57,3.5562311666666666,4.1832985,6,small
matpower/case57,WARM_LPSCREEN_LAZY_T050,57,3.587596833333334,4.1740205,6,small
matpower/case57,WARM_LPSCREEN_LAZY_T080,57,3.8196689999999998,4.2716315,6,small
matpower/case57,WARM_LPSCREEN_T010,57,2.9692588333333334,2.916811,6,small
matpower/case57,WARM_LPSCREEN_T020,57,2.9759401666666663,2.920941,6,small
matpower/case57,WARM_LPSCREEN_T030,57,2.9742373333333334,2.9117735,6,small
matpower/case57,WARM_LPSCREEN_T050,57,2.9555385,2.938085,6,small
matpower/case57,WARM_LPSCREEN_T080,57,5.1699485,4.596253,6,small
matpower/case57,WARM_PRUNE_LAZY_T010,57,3.2846175,3.7475585000000002,6,small
matpower/case57,WARM_PRUNE_LAZY_T020,57,3.270348666666667,3.7008520000000003,6,small
matpower/case57,WARM_PRUNE_LAZY_T030,57,3.2874088333333336,3.7593294999999998,6,small
matpower/case57,WARM_PRUNE_LAZY_T050,57,3.26665,3.706642,6,small
matpower/case57,WARM_PRUNE_LAZY_T080,57,3.0363135,3.3297325,6,small
matpower/case57,WARM_PRUNE_T010,57,1.7003895,1.9405765000000001,6,small
matpower/case57,WARM_PRUNE_T020,57,1.6891891666666667,1.9256479999999998,6,small
matpower/case57,WARM_PRUNE_T030,57,1.6979421666666665,1.9604285,6,small
matpower/case57,WARM_PRUNE_T050,57,1.7033291666666666,1.9567705,6,small
matpower/case57,WARM_PRUNE_T080,57,4.380092,5.2411805000000005,6,small
matpower/case57,WARM_SR_LAZY,57,42.40104783333333,58.742523500000004,6,small
matpower/case89pegase,ACTIVESET,89,41.427100333333335,38.2475935,6,small
matpower/case89pegase,ACTIVESET_B500,89,41.45485,38.377896,6,small
matpower/case89pegase,ACTIVESET_B5000,89,41.526790166666665,38.479292,6,small
matpower/case89pegase,ACTIVESET_LAZY,89,97.60446766666666,95.293061,6,small
matpower/case89pegase,ACTIVESET_LAZY_TOPK128,89,99.33908883333334,95.623388,6,small
matpower/case89pegase,ACTIVESET_NOCLEAN,89,41.303503166666665,38.262315,6,small
matpower/case89pegase,LAZY_ALL,89,93.53691633333334,93.15211550000001,6,small
matpower/case89pegase,LAZY_BANDIT,89,91.78997416666665,91.600454,6,small
matpower/case89pegase,LAZY_COMMIT_GNN_T060,89,92.91011883333334,92.769799,6,small
matpower/case89pegase,LAZY_COMMIT_HINTS,89,93.30530933333334,93.108259,6,small
matpower/case89pegase,LAZY_GNN_T060,89,92.6822175,92.3506835,6,small
matpower/case89pegase,LAZY_GNN_T080,89,92.50780833333333,92.05201199999999,6,small
matpower/case89pegase,LAZY_TOPK128,89,93.44901133333333,93.007208,6,small
matpower/case89pegase,RAW,89,210.65758983333333,191.6804485,6,small
matpower/case89pegase,RAW_COMMIT_HINTS,89,182.41815683333334,182.5298805,6,small
matpower/case89pegase,RAW_GNN,89,38.88762533333333,36.516292,6,small
matpower/case89pegase,SHRINK_LAZY,89,300.1567631666667,300.159169,6,small
matpower/case89pegase,STREDUCE,89,196.46374649999998,198.7157015,6,small
matpower/case89pegase,STREDUCE_AGGRESSIVE,89,187.4141855,181.45556549999998,6,small
matpower/case89pegase,STREDUCE_CONSERVATIVE,89,188.75385516666665,168.4723585,6,small
matpower/case89pegase,STREDUCE_GRU,89,203.50926916666666,202.42512599999998,6,small
matpower/case89pegase,STREDUCE_LAZY,89,192.08342916666666,185.77349550000002,6,small
matpower/case89pegase,STREDUCE_LAZY_AGGRESSIVE,89,185.81494183333334,183.370655,6,small
matpower/case89pegase,STREDUCE_LAZY_CONSERVATIVE,89,212.17871766666667,204.15616599999998,6,small
matpower/case89pegase,STREDUCE_LAZY_GRU,89,194.13086716666666,202.60513450000002,6,small
matpower/case89pegase,WARM,89,223.39385083333332,228.1217585,6,small
matpower/case89pegase,WARM_ACTIVESET,89,42.32392316666667,39.720482000000004,6,small
matpower/case89pegase,WARM_ACTIVESET_LAZY,89,97.651323,96.6126465,6,small
matpower/case89pegase,WARM_BRANCH_HINTS,89,217.966308,200.202964,6,small
matpower/case89pegase,WARM_COMMIT_HINTS,89,175.69297583333332,175.853866,6,small
matpower/case89pegase,WARM_GRU,89,222.6875141666667,229.49452200000002,6,small
matpower/case89pegase,WARM_LAZY,89,94.22172683333334,94.103276,6,small
matpower/case89pegase,WARM_LAZY_BANDIT,89,92.60594283333334,92.381406,6,small
matpower/case89pegase,WARM_LAZY_BRANCH_HINTS,89,94.21520916666667,93.878507,6,small
matpower/case89pegase,WARM_LAZY_COMMIT_GNN_T060,89,94.16686133333333,94.161239,6,small
matpower/case89pegase,WARM_LAZY_COMMIT_GRU,89,93.45200616666666,93.355237,6,small
matpower/case89pegase,WARM_LAZY_COMMIT_HINTS,89,93.74104866666666,93.916725,6,small
matpower/case89pegase,WARM_LAZY_GNN_T060,89,94.3602085,94.267724,6,small
matpower/case89pegase,WARM_LAZY_GRU,89,94.24424866666668,93.955732,6,small
matpower/case89pegase,WARM_LAZY_ML_STACK,89,92.912344,92.953595,6,small
matpower/case89pegase,WARM_LAZY_TOPK128,89,94.15253816666666,94.8112705,6,small
matpower/case89pegase,WARM_LPSCREEN_LAZY_T010,89,95.88522566666667,95.3056225,6,small
matpower/case89pegase,WARM_LPSCREEN_LAZY_T020,89,94.68291033333334,94.475751,6,small
matpower/case89pegase,WARM_LPSCREEN_LAZY_T030,89,95.12257833333335,94.465262,6,small
matpower/case89pegase,WARM_LPSCREEN_LAZY_T050,89,95.03028733333333,95.022287,6,small
matpower/case89pegase,WARM_LPSCREEN_LAZY_T080,89,95.18433566666666,95.0067865,6,small
matpower/case89pegase,WARM_LPSCREEN_T010,89,64.89999433333334,61.278437999999994,6,small
matpower/case89pegase,WARM_LPSCREEN_T020,89,96.17722400000001,95.985118,6,small
matpower/case89pegase,WARM_LPSCREEN_T030,89,97.26237350000001,96.9708485,6,small
matpower/case89pegase,WARM_LPSCREEN_T050,89,107.10649316666667,104.61430250000001,6,small
matpower/case89pegase,WARM_LPSCREEN_T080,89,140.42508766666666,130.9901875,6,small
matpower/case89pegase,WARM_PRUNE_LAZY_T010,89,94.19507016666667,93.92227199999999,6,small
matpower/case89pegase,WARM_PRUNE_LAZY_T020,89,93.68941733333334,93.3514165,6,small
matpower/case89pegase,WARM_PRUNE_LAZY_T030,89,93.55477033333334,93.3596965,6,small
matpower/case89pegase,WARM_PRUNE_LAZY_T050,89,93.857306,93.81126699999999,6,small
matpower/case89pegase,WARM_PRUNE_LAZY_T080,89,94.87872433333332,94.372829,6,small
matpower/case89pegase,WARM_PRUNE_T010,89,46.63394316666666,46.7609445,6,small
matpower/case89pegase,WARM_PRUNE_T020,89,52.00754733333333,47.317035,6,small
matpower/case89pegase,WARM_PRUNE_T030,89,61.880101333333336,55.247496999999996,6,small
