case_folder,case_label,case_size,mode,time_budget_pct,median_gap_pct,logs_with_incumbent,logs_total
matpower/case2383wp,case2383wp,2383,WARM_LAZY_GRU,65.0,1.7757165,6,6
matpower/case2383wp,case2383wp,2383,WARM_LAZY_GRU,70.0,1.7757165,6,6
matpower/case2383wp,case2383wp,2383,WARM_LAZY_GRU,75.0,1.7757165,6,6
matpower/case2383wp,case2383wp,2383,WARM_LAZY_GRU,80.0,1.7757165,6,6
matpower/case2383wp,case2383wp,2383,WARM_LAZY_GRU,85.0,1.7757165,6,6
matpower/case2383wp,case2383wp,2383,WARM_LAZY_GRU,90.0,1.7757165,6,6
matpower/case2383wp,case2383wp,2383,WARM_LAZY_GRU,95.0,1.7757165,6,6
matpower/case2383wp,case2383wp,2383,WARM_LAZY_GRU,100.0,1.7757165,6,6
matpower/case2383wp,case2383wp,2383,LAZY_BANDIT,0.0,100.0,0,6
matpower/case2383wp,case2383wp,2383,LAZY_BANDIT,5.0,100.0,0,6
matpower/case2383wp,case2383wp,2383,LAZY_BANDIT,10.0,100.0,0,6
matpower/case2383wp,case2383wp,2383,LAZY_BANDIT,15.0,100.0,0,6
matpower/case2383wp,case2383wp,2383,LAZY_BANDIT,20.0,94.53816042281152,4,6
matpower/case2383wp,case2383wp,2383,LAZY_BANDIT,25.0,92.79035926421746,6,6
matpower/case2383wp,case2383wp,2383,LAZY_BANDIT,30.0,92.66657376456098,6,6
matpower/case2383wp,case2383wp,2383,LAZY_BANDIT,35.0,70.0,6,6
matpower/case2383wp,case2383wp,2383,LAZY_BANDIT,40.0,0.05,6,6
matpower/case2383wp,case2383wp,2383,LAZY_BANDIT,45.0,0.05,6,6
matpower/case2383wp,case2383wp,2383,LAZY_BANDIT,50.0,0.05,6,6
matpower/case2383wp,case2383wp,2383,LAZY_BANDIT,55.0,0.05,6,6
matpower/case2383wp,case2383wp,2383,LAZY_BANDIT,60.0,0.05,6,6
matpower/case2383wp,case2383wp,2383,LAZY_BANDIT,65.0,0.05,6,6
matpower/case2383wp,case2383wp,2383,LAZY_BANDIT,70.0,0.05,6,6
matpower/case2383wp,case2383wp,2383,LAZY_BANDIT,75.0,0.05,6,6
matpower/case2383wp,case2383wp,2383,LAZY_BANDIT,80.0,0.05,6,6
matpower/case2383wp,case2383wp,2383,LAZY_BANDIT,85.0,0.05,6,6
matpower/case2383wp,case2383wp,2383,LAZY_BANDIT,90.0,0.05,6,6
matpower/case2383wp,case2383wp,2383,LAZY_BANDIT,95.0,0.05,6,6
matpower/case2383wp,case2383wp,2383,LAZY_BANDIT,100.0,0.05,6,6
matpower/case2383wp,case2383wp,2383,WARM_PRUNE_LAZY_T030,0.0,100.0,0,6
matpower/case2383wp,case2383wp,2383,WARM_PRUNE_LAZY_T030,5.0,100.0,0,6
matpower/case2383wp,case2383wp,2383,WARM_PRUNE_LAZY_T030,10.0,100.0,0,6
matpower/case2383wp,case2383wp,2383,WARM_PRUNE_LAZY_T030,15.0,100.0,1,6
matpower/case2383wp,case2383wp,2383,WARM_PRUNE_LAZY_T030,20.0,76.64555538147303,6,6
matpower/case2383wp,case2383wp,2383,WARM_PRUNE_LAZY_T030,25.0,71.31326555818202,6,6
matpower/case2383wp,case2383wp,2383,WARM_PRUNE_LAZY_T030,30.0,58.545081111750605,6,6
matpower/case2383wp,case2383wp,2383,WARM_PRUNE_LAZY_T030,35.0,0.036140979245578325,6,6
matpower/case2383wp,case2383wp,2383,WARM_PRUNE_LAZY_T030,40.0,0.03469247924557833,6,6
matpower/case2383wp,case2383wp,2383,WARM_PRUNE_LAZY_T030,45.0,0.03469247924557833,6,6
matpower/case2383wp,case2383wp,2383,WARM_PRUNE_LAZY_T030,50.0,0.03469247924557833,6,6
matpower/case2383wp,case2383wp,2383,WARM_PRUNE_LAZY_T030,55.0,0.011140979245578326,6,6
matpower/case2383wp,case2383wp,2383,WARM_PRUNE_LAZY_T030,60.0,0.011140979245578326,6,6
matpower/case2383wp,case2383wp,2383,WARM_PRUNE_LAZY_T030,65.0,0.011140979245578326,6,6
matpower/case2383wp,case2383wp,2383,WARM_PRUNE_LAZY_T030,70.0,0.011140979245578326,6,6
matpower/case2383wp,case2383wp,2383,WARM_PRUNE_LAZY_T030,75.0,0.011140979245578326,6,6
matpower/case2383wp,case2383wp,2383,WARM_PRUNE_LAZY_T030,80.0,0.011140979245578326,6,6
matpower/case2383wp,case2383wp,2383,WARM_PRUNE_LAZY_T030,85.0,0.011140979245578326,6,6
matpower/case2383wp,case2383wp,2383,WARM_PRUNE_LAZY_T030,90.0,0.011140979245578326,6,6
matpower/case2383wp,case2383wp,2383,WARM_PRUNE_LAZY_T030,95.0,0.011140979245578326,6,6
matpower/case2383wp,case2383wp,2383,WARM_PRUNE_LAZY_T030,100.0,0.011140979245578326,6,6
matpower/case2383wp,case2383wp,2383,LAZY_GNN_T080,0.0,100.0,0,6
matpower/case2383wp,case2383wp,2383,LAZY_GNN_T080,5.0,100.0,0,6
matpower/case2383wp,case2383wp,2383,LAZY_GNN_T080,10.0,100.0,0,6
matpower/case2383wp,case2383wp,2383,LAZY_GNN_T080,15.0,100.0,0,6
matpower/case2383wp,case2383wp,2383,LAZY_GNN_T080,20.0,96.31012853626424,4,6
matpower/case2383wp,case2383wp,2383,LAZY_GNN_T080,25.0,95.30860480089015,6,6
matpower/case2383wp,case2383wp,2383,LAZY_GNN_T080,30.0,95.12908427122856,6,6
matpower/case2383wp,case2383wp,2383,LAZY_GNN_T080,35.0,72.9,6,6
matpower/case2383wp,case2383wp,2383,LAZY_GNN_T080,40.0,0.0183925,6,6
matpower/case2383wp,case2383wp,2383,LAZY_GNN_T080,45.0,0.0183925,6,6
matpower/case2383wp,case2383wp,2383,LAZY_GNN_T080,50.0,0.0183925,6,6
matpower/case2383wp,case2383wp,2383,LAZY_GNN_T080,55.0,0.0183925,6,6
matpower/case2383wp,case2383wp,2383,LAZY_GNN_T080,60.0,0.0183925,6,6
matpower/case2383wp,case2383wp,2383,LAZY_GNN_T080,65.0,0.0183925,6,6
matpower/case2383wp,case2383wp,2383,LAZY_GNN_T080,70.0,0.0183925,6,6
matpower/case2383wp,case2383wp,2383,LAZY_GNN_T080,75.0,0.0183925,6,6
matpower/case2383wp,case2383wp,2383,LAZY_GNN_T080,80.0,0.0183925,6,6
matpower/case2383wp,case2383wp,2383,LAZY_GNN_T080,85.0,0.0183925,6,6
matpower/case2383wp,case2383wp,2383,LAZY_GNN_T080,90.0,0.0183925,6,6
matpower/case2383wp,case2383wp,2383,LAZY_GNN_T080,95.0,0.0183925,6,6
matpower/case2383wp,case2383wp,2383,LAZY_GNN_T080,100.0,0.0183925,6,6
matpower/case3375wp,case3375wp,3375,LAZY_ALL,0.0,100.0,0,6
matpower/case3375wp,case3375wp,3375,LAZY_ALL,5.0,100.0,0,6
matpower/case3375wp,case3375wp,3375,LAZY_ALL,10.0,100.0,0,6
matpower/case3375wp,case3375wp,3375,LAZY_ALL,15.0,100.0,0,6
matpower/case3375wp,case3375wp,3375,LAZY_ALL,20.0,100.0,0,6
matpower/case3375wp,case3375wp,3375,LAZY_ALL,25.0,100.0,0,6
matpower/case3375wp,case3375wp,3375,LAZY_ALL,30.0,100.0,0,6
matpower/case3375wp,case3375wp,3375,LAZY_ALL,35.0,100.0,0,6
matpower/case3375wp,case3375wp,3375,LAZY_ALL,40.0,100.0,0,6
matpower/case3375wp,case3375wp,3375,LAZY_ALL,45.0,100.0,1,6
matpower/case3375wp,case3375wp,3375,LAZY_ALL,50.0,98.0,3,6
matpower/case3375wp,case3375wp,3375,LAZY_ALL,55.0,98.0,3,6
matpower/case3375wp,case3375wp,3375,LAZY_ALL,60.0,97.25,3,6
matpower/case3375wp,case3375wp,3375,LAZY_ALL,65.0,97.25,3,6
matpower/case3375wp,case3375wp,3375,LAZY_ALL,70.0,96.7,3,6
matpower/case3375wp,case3375wp,3375,LAZY_ALL,75.0,95.5,3,6
matpower/case3375wp,case3375wp,3375,LAZY_ALL,80.0,95.35,3,6
matpower/case3375wp,case3375wp,3375,LAZY_ALL,85.0,95.3,3,6
