case_folder,mode,n,speedup_mean,speedup_median,speedup_mean_ci_lo,speedup_mean_ci_hi,speedup_median_ci_lo,speedup_median_ci_hi,runtime_median_sec,opt_rate,infeasible_rate,mean_case_speedup
matpower/case118,WARM+PRUNE-0.10,49,8.218067099341399,8.24031931492935,7.681169548467287,8.750076172873134,7.7134808340006575,9.02573869472763,5.062000036239624,1.0,0.0,9.643985517197217
matpower/case118,WARM+PRUNE-0.10+GNN,49,8.16908980779551,8.03924991264439,7.661099809416193,8.695753332786719,7.738719661736831,8.530502567508586,5.050999879837036,1.0,0.0,9.584479983821792
matpower/case118,WARM+PRUNE-0.20,49,8.078711934834098,7.966852096237965,7.511439987041453,8.653119945170802,7.597529071119847,8.602091860108901,5.218999862670898,1.0,0.0,8.6847194416605
matpower/case118,WARM+PRUNE-0.20+GNN,49,8.05206883167191,7.950095572571561,7.480485266247097,8.635046653041043,7.45546485108738,8.642274236176439,5.141999959945679,1.0,0.0,8.632062355602704
matpower/case118,WARM+PRUNE-0.30,49,7.369869053348859,7.665678841222444,6.677751067782915,8.085465236859466,7.08865438664913,8.6552275386492,5.388000011444092,1.0,0.0,6.956630728496769
matpower/case118,WARM+PRUNE-0.30+GNN,49,7.312042374549451,7.516306352994782,6.62298083009075,8.032185323153762,7.052240537087302,8.50824521031983,5.434999942779541,1.0,0.0,6.904809727241395
matpower/case118,WARM+PRUNE-0.50,49,3.077307481972053,2.849495148998743,2.6962128479415686,3.5246722609238,2.4980706052243895,3.079941660142777,14.187999963760376,1.0,0.0,3.5615481906559183
matpower/case118,WARM+PRUNE-0.50+GNN,49,3.288613361263389,2.884140822008496,2.774873890255071,3.8987337897107883,2.576392988720148,3.084011367420983,13.776999950408936,1.0,0.0,3.607078431629981
matpower/case118,WARM+PRUNE-0.80,49,1.0531603500493514,1.008928573094487,0.9630829972568374,1.1419966209959418,0.872328143301026,1.1313371293212846,44.93499994277954,1.0,0.0,2.3904772822014064
matpower/case118,WARM+PRUNE-0.80+GNN,49,1.3015101868001522,0.9842112594783289,0.9853130928742642,1.8264990549686182,0.8794137129546903,1.1218146702614908,44.51900005340576,1.0,0.0,2.4167821699232523
